Matricule,Groupe_S2,MCSI,BDD,SEC,CPROJ,PROJ,LANG2,ARCH,SYS2,RES2,Ne_S2,Rang_S2,Moy_S2
19/0180,G09,"10,64","11,48","4,92","14,38","15,37","14,92","13,69","7,1","11,05",1,111,"11,7"
19/0258,G09,"10,9","11,15","5,16","13,48","14,17","13,62","12,84",9,"12,61",0,113,"11,69"
19/0140,G03,"9,12","13,49","8,71","12,68","11,1","14,02","12,95","10,82","11,46",0,113,"11,69"
19/0055,G05,"10,02","9,56","6,34","12,8","13,4","15,86","13,14","11,25","12,74",0,115,"11,68"
19/0079,G01,"9,1","10,15","8,5","11,23","15,47","14,52","12,13","12,7","12,42",0,115,"11,68"
19/0116,G04,"5,75",13,"8,46","11,6","14,4","15,51","14,97","11,05","11,58",1,117,"11,67"
19/0101,G07,"10,19","11,5","4,04","13,2","14,44","14,48","11,25","10,3","13,05",1,118,"11,66"
19/0082,G02,"10,5","11,2",7,"13,48","15,27","15,77","13,65","6,8","11,26",0,119,"11,63"
19/0132,G05,"12,01","11,44","3,12","13,23","16,5","13,54","10,78","9,62","10,15",1,120,"11,62"
19/0014,G08,"10,6","12,99","6,34","13,03","15,47","14,62","12,2","7,7","9,7",0,121,"11,59"
19/0265,G08,"7,7","10,35","9,84","12,45","15,41","16,68","12,29","11,3","11,84",0,122,"11,56"
19/0013,G08,"9,98","10,32","11,29","10,05","15,2","15,68","14,22","9,15","10,91",0,123,"11,54"
19/0266,G05,"11,44","11,29","10,18","13,15","14,4","13,28","9,96","9,4","11,25",0,124,"11,47"
18/0308,G04,"11,95","12,05","9,5","10,5","16,84","13,75","10,13","7,31","11,52",0,125,"11,44"
19/0262,G03,"10,31","12,8",11,"13,75","11,1","14,52","11,26","8,3","11,17",0,126,"11,4"
18/0179,G03,"10,56","11,05","6,21","12,5","14,17","15,18","11,31","7,59","13,21",0,127,"11,33"
19/0191,G06,"6,44","12,92","5,42","13,68","16,55","11,86","13,36","8,07","12,17",0,128,"11,3"
19/0012,G08,"10,4","11,32","3,79","13,35","14,13","14,92","11,76","7,4","12,32",1,129,"11,28"
19/0195,G01,"10,43","10,95","5,25","12,11","14,13","14,45","12,04","8,6","11,9",0,130,"11,27"
19/0206,G08,"10,74","11,2","6,75","12,85","14,13","15,25","10,46","6,95","12,38",0,131,"11,16"
19/0200,G05,"8,89","11,81","4,96","11,3","16,5","16,68","12,09","7,1","10,99",1,131,"11,16"
17/0015,G09,"13,7","9,5","7,84","12,38","16,13","11,48","12,1","6,4","9,35",0,133,"11,15"
19/0005,G07,"9,32","10,7","4,71","10,2","16,94","11,85","12,7","9,53","11,76",1,134,"11,14"
19/0008,G02,"9,62","11,7","10,21","14,13","15,27","16,18","10,58","4,85","11,65",1,135,"11,13"
18/0202,G07,"12,7","9,78","6,12","13,25","17,91","13,92","9,97","6,25","9,48",0,136,"11,11"
19/0053,G08,"8,48","11,65","8,38","12,05","15,41","13,86","10,83","7,8","12,42",0,137,"11,03"
19/0183,G08,"8,84","12,02","3,29","13,28","15,47","13,12","11,81","8,45","9,88",1,137,"11,03"
19/0267,G03,"6,75","10,85","8,21","11,93","15,37","15,18","11,31",9,"13,71",0,137,"11,03"
18/0255,G01,"12,42","9,02","7,16",11,"17,06","10,34","12,06","7,2","11,49",0,140,"11,02"
19/0233,G03,"9,75","10,35","11,38","14,03","11,1","14,5","10,94","8,26","11,8",0,141,"10,95"
18/0326,G07,"10,9","12,08","1,34",14,"14,99","11,26","10,56","6,45","11,26",1,142,"10,92"
19/0270,G03,"7,31","11,48","2,62","13,25","15,37","14,26","10,41","8,63","13,19",1,143,"10,89"
19/0060,G08,"10,56","8,92","2,29","14,13","16,55","10,69","12,35","6,75","12,25",1,144,"10,88"
19/0147,G07,"10,4","11,4","4,38","13,03","14,44","4,93","12,07","10,25","10,4",2,145,"10,87"
19/0049,G07,"10,56","11,4","6,16","12,4","16,89","7,69","10,5","8,25","10,61",1,145,"10,87"
19/0276,G07,"10,24","10,5","5,25","12,9","14,44","7,38","11,07","9,25","11,76",1,147,"10,74"
19/0282,G03,7,"10,7","11,29","13,8","11,1","14,7","14,4","7,16","10,15",0,148,"10,69"
19/0099,G01,"8,78","10,8","5,25","10,1","14,13","14,27","11,8","8,95","10,16",0,149,"10,6"
19/0274,G06,"7,88","9,08","5,88","14,5","15,77","12,18","10,36","8,34","11,91",0,150,"10,55"
19/0211,G01,"7,87","11,34","8,21","14,15","14,13","14,71","8,71","7,8","9,56",0,151,"10,44"
19/0278,G06,"7,69","8,23","4,38","13,15","15,77","8,54","13,84","9,8","10,21",2,152,"10,43"
19/0188,G01,"9,36","11,08","6,58","13,18","14,13","14,78","10,52","5,8","8,48",1,153,"10,37"
19/0272,G08,"8,57","8,62","4,84","12,45","15,2","14,35","11,78","5,4","10,95",2,154,"10,13"
19/0283,G01,"7,44","9,65","1,42","12,1","15,2","13,36","8,85",9,"10,85",1,155,"9,98"
18/0171,G06,"9,12","10,6","2,84","12,08","15,41","5,25","10,42","7,29","10,03",2,156,"9,84"
19/0273,G03,"3,75","9,25","4,92","11,35","11,1","12,92","11,6","8,12","11,01",2,157,"9,17"
19/0108,G03,"5,56","8,85","3,58","9,45","11,1","14,77","12,29","5,72","9,59",3,158,"8,92"
18/0296,G08,"5,79","6,69","1,79","11,85",16,"13,02","10,05","2,8","7,72",4,159,"8,28"
19/0271,G05,"2,68","8,65","1,58","13,3","14,4","10,3","9,44","4,3","9,46",3,160,"8,18"
18/0301,G01,"11,52","3,1","1,75","15,38","16,99","12,56","4,61","1,2","2,34",5,161,"7,58"
18/0321,G06,0,0,0,0,0,0,0,"0,6",0,9,162,"0,08"
